epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.681,2.10602,5.5526,1.23082,0.63801,0.02317,0.0338,0.02061,1.56424,4.60601,1.04644,0.000300537,0.000300537,0.000300537
2,623.971,1.64756,4.06844,1.08199,0.42808,0.11922,0.11443,0.05925,1.46998,3.8187,1.10938,0.000563703,0.000563703,0.000563703
3,937.773,1.54277,3.49393,1.05172,0.41346,0.24903,0.17039,0.1096,1.34054,3.66677,1.0341,0.000786874,0.000786874,0.000786874
4,1252.38,1.4816,3.18353,1.01942,0.80546,0.22735,0.25914,0.17081,1.28431,2.90031,1.03371,0.000729018,0.000729018,0.000729018
5,1564.78,1.40481,2.91492,0.99051,0.5961,0.34917,0.31472,0.18658,1.32397,2.55163,0.99802,0.000669024,0.000669024,0.000669024
6,1870.92,1.41165,3.00349,1.00679,0.59115,0.38769,0.33512,0.21118,1.30657,2.38012,0.98098,0.00060903,0.00060903,0.00060903
7,2177.15,1.31757,2.61832,0.97881,0.35044,0.34266,0.36891,0.23795,1.27572,2.21942,0.94374,0.000549036,0.000549036,0.000549036
8,2477.91,1.27869,2.36003,0.97696,0.44904,0.47679,0.45071,0.30888,1.17693,1.88161,0.95963,0.000489042,0.000489042,0.000489042
9,2785.63,1.21433,2.13019,0.95522,0.47117,0.41026,0.47707,0.31655,1.18913,1.96486,0.92394,0.000429048,0.000429048,0.000429048
10,3128.96,1.20808,2.00368,0.9364,0.65436,0.4996,0.66462,0.42056,1.15546,1.60941,0.93527,0.000369054,0.000369054,0.000369054
11,3477.64,1.15342,1.83547,0.92864,0.70709,0.5309,0.61024,0.4128,1.11862,1.52795,0.9272,0.00030906,0.00030906,0.00030906
12,3831.32,1.11242,1.72322,0.91758,0.67967,0.50433,0.58344,0.38893,1.04416,1.49877,0.91515,0.000249066,0.000249066,0.000249066
13,4187.64,1.07295,1.67935,0.90868,0.72795,0.55978,0.65027,0.47012,0.98548,1.36392,0.89156,0.000189072,0.000189072,0.000189072
14,4500.55,1.05397,1.62483,0.90509,0.70421,0.54979,0.66425,0.47312,1.02949,1.34899,0.88859,0.000129078,0.000129078,0.000129078
15,4812.76,1.01877,1.52033,0.88666,0.7597,0.55169,0.67388,0.47865,1.05804,1.31266,0.88663,6.9084e-05,6.9084e-05,6.9084e-05
