epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.013,2.62178,8.66068,1.47985,0,0,0,0,1.5979,6.30725,1.02606,7.28065e-05,7.28065e-05,7.28065e-05
2,714.623,1.61245,6.82015,1.04166,0.00232,0.04816,0.00275,0.00096,1.43775,5.88767,0.96929,0.000132273,0.000132273,0.000132273
3,1022.28,1.5274,6.32454,1.01696,0.69421,0.03217,0.01897,0.00937,1.47635,5.43674,1.01439,0.000177087,0.000177087,0.000177087
4,1326.47,1.46552,5.98657,0.99359,0.69503,0.0312,0.04497,0.0277,1.37163,5.05887,0.96094,0.000156066,0.000156066,0.000156066
5,1643.31,1.4059,5.65106,0.97753,0.63389,0.107,0.07303,0.04486,1.3041,4.80923,0.93556,0.000134088,0.000134088,0.000134088
6,1981.91,1.37311,5.3419,0.96013,0.52898,0.08945,0.13477,0.09156,1.28179,4.52591,0.91941,0.00011211,0.00011211,0.00011211
7,2297.33,1.36928,5.12732,0.96277,0.55472,0.12476,0.17487,0.12046,1.20696,4.20819,0.9043,9.0132e-05,9.0132e-05,9.0132e-05
8,2608.93,1.32173,4.99366,0.94991,0.55228,0.18763,0.20734,0.15439,1.22302,4.10464,0.89907,6.8154e-05,6.8154e-05,6.8154e-05
9,2920.76,1.32738,4.88637,0.93649,0.59223,0.19333,0.22005,0.16155,1.16704,4.00652,0.8908,4.6176e-05,4.6176e-05,4.6176e-05
10,3234.72,1.28477,4.75997,0.92476,0.68543,0.21652,0.26209,0.18808,1.17048,3.88867,0.88602,2.4198e-05,2.4198e-05,2.4198e-05
